Rank,Team_Country,Gold,Silver,Bronze,Total,Rank by Total
46,Venezuela,1,3,0,4,47
48,India,1,2,4,7,33
49,"Hong Kong, China",1,2,3,6,39
50,Philippines,1,2,1,4,47
50,Slovakia,1,2,1,4,47
52,South Africa,1,2,0,3,60
53,Austria,1,1,5,7,33
54,Egypt,1,1,4,6,39
55,Indonesia,1,1,3,5,42
56,Ethiopia,1,1,2,4,47
56,Portugal,1,1,2,4,47
58,Tunisia,1,1,0,2,66
59,Estonia,1,0,1,2,66
59,Fiji,1,0,1,2,66
59,Latvia,1,0,1,2,66
59,Thailand,1,0,1,2,66
63,Bermuda,1,0,0,1,77
63,Morocco,1,0,0,1,77
63,Puerto Rico,1,0,0,1,77
66,Colombia,0,4,1,5,42
67,Azerbaijan,0,3,4,7,33
68,Dominican Republic,0,3,2,5,42
69,Armenia,0,2,2,4,47
70,Kyrgyzstan,0,2,1,3,60
71,Mongolia,0,1,3,4,47
72,Argentina,0,1,2,3,60
72,San Marino,0,1,2,3,60
74,Jordan,0,1,1,2,66
74,Malaysia,0,1,1,2,66
74,Nigeria,0,1,1,2,66
77,Bahrain,0,1,0,1,77
77,Saudi Arabia,0,1,0,1,77
77,Lithuania,0,1,0,1,77
77,North Macedonia,0,1,0,1,77
77,Namibia,0,1,0,1,77
77,Turkmenistan,0,1,0,1,77
83,Kazakhstan,0,0,8,8,29
84,Mexico,0,0,4,4,47
85,Finland,0,0,2,2,66
86,Botswana,0,0,1,1,77
86,Burkina Faso,0,0,1,1,77
86,Côte d'Ivoire,0,0,1,1,77
86,Ghana,0,0,1,1,77
86,Grenada,0,0,1,1,77
86,Kuwait,0,0,1,1,77
86,Republic of Moldova,0,0,1,1,77
86,Syrian Arab Republic,0,0,1,1,77
